Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
montmorillonite,Montmorillonite,Type of clay,"viscosity controlling, absorbent/mattifier, emulsion stabilising","Montmorillonite adalah mineral tanah liat alami yang termasuk dalam kelompok smektit dan merupakan komponen utama dari bentonit. Dalam produk perawatan kulit, bahan ini berfungsi sebagai penyerap (absorbent) yang sangat efektif untuk mengangkat kelebihan minyak, kotoran, dan racun dari pori-pori, sehingga sering digunakan dalam masker pembersih mendalam. Selain kemampuannya dalam mengontrol kilap dan memberikan efek matte, Montmorillonite berperan sebagai pengatur kekentalan dan penstabil emulsi yang membantu memperbaiki tekstur serta stabilitas formula produk. Karena kaya akan mineral esensial seperti magnesium dan kalsium, bahan ini juga membantu menutrisi serta menenangkan kulit yang bermasalah.",Berminyak
moringa-oleifera-seed-oil,Moringa Oleifera Seed Oil,Moringa Seed Oil,emollient,"Moringa Oleifera Seed Oil, atau yang lebih dikenal sebagai Minyak Kelor, adalah minyak nabati ringan yang diekstraksi dari biji pohon kelor yang sering dijuluki sebagai Miracle Tree. Berfungsi utama sebagai emolien, minyak ini sangat kaya akan asam lemak esensial seperti asam oleat, serta antioksidan dan vitamin A, C, dan E yang bekerja efektif untuk menghidrasi, menutrisi, dan memperkuat sawar kulit (skin barrier). Selain kemampuannya dalam melembapkan kulit kering tanpa rasa lengket, minyak ini memiliki sifat anti-inflamasi dan antimikroba yang membantu menenangkan iritasi, mendukung penyembuhan luka, serta membantu menyeimbangkan produksi sebum pada kulit berminyak atau berjerawat. Karena stabilitasnya yang tinggi terhadap oksidasi, bahan ini menjadi pilihan populer dalam produk perawatan kulit dan rambut untuk memberikan efek halus, kenyal, dan perlindungan terhadap stres lingkungan serta tanda-tanda penuaan dini.",Normal
myristic-acid,Myristic Acid,,"surfactant/cleansing, emulsifying, perfuming","Myristic Acid, atau asam tetradekanoat, adalah asam lemak jenuh rantai panjang yang ditemukan secara alami dalam lemak tanaman dan hewan, seperti minyak kelapa, minyak inti sawit, dan pala. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi multifungsi sebagai surfaktan pembersih, pengemulsi, dan agen pengental yang membantu menciptakan tekstur krim yang stabil dan kaya. Selain kemampuannya dalam menghasilkan busa yang melimpah pada produk sabun dan pembersih wajah, Myristic Acid juga berperan sebagai opacifier untuk memberikan tampilan produk yang mewah serta membantu penyerapan bahan aktif lain ke dalam kulit. Karena sifatnya yang efektif dalam melarutkan kotoran dan minyak, bahan ini sering menjadi komponen utama dalam produk pembersih untuk memberikan hasil akhir yang bersih dan halus.",Berminyak
myristoyl-hexapeptide-16,Myristoyl Hexapeptide-16,SymPeptide 235,cell-communicating ingredient,"Myristoyl Hexapeptide-16, sing uga dikenal kanthi jeneng dagang SymPeptide 235, yaiku peptida asam lemak sintetis sing dirancang khusus kanggo ningkatake penampilan rambut, utamane bulu mata lan alis. Bahan iki makarya kanthi ngrangsang gen keratin, yaiku protein struktural utama sing nyusun rambut, saengga bisa nggawe bulu mata katon luwih kandel, dawa, lan kuwat. Asring dikombinasikake karo Myristoyl Pentapeptide-17, bahan iki dadi pilihan populer ing produk serum penumbuh bulu mata amarga sifate sing efektif nanging tetep lembut lan aman kanggo area mripat sing sensitif. Kanthi panggunaan rutin, Myristoyl Hexapeptide-16 mbantu nambah volume lan daya tahan rambut saka kerontokan prematur.",Normal
myristoyl-nonapeptide-3,Myristoyl Nonapeptide-3,Retinopeptide 189,cell-communicating ingredient,"Myristoyl Nonapeptide-3, yang dikenal dengan nama dagang Retinopeptide 189, adalah peptida sintetik inovatif yang dirancang sebagai alternatif retinol yang lebih lembut. Bahan ini bekerja dengan meniru aktivitas asam retinoat untuk merangsang regenerasi sel dan sintesis kolagen tanpa menyebabkan efek samping umum seperti iritasi, kemerahan, atau rasa menyengat. Sebagai bahan komunikasi sel (cell-communicating ingredient), peptida ini efektif dalam memperbaiki tekstur kulit, menyamarkan garis halus dan kerutan, serta meningkatkan kekencangan wajah. Selain manfaat anti-penuaannya, Myristoyl Nonapeptide-3 juga berfungsi sebagai agen pengkondisi kulit yang membantu menjaga kelembapan dan memperkuat sawar kulit (skin barrier), menjadikannya pilihan ideal untuk pemilik kulit sensitif yang tidak dapat mentoleransi retinoid tradisional.",Normal
myristoyl-pentapeptide-17,Myristoyl Pentapeptide-17,SymPeptide 226,cell-communicating ingredient,"Myristoyl Pentapeptide-17, yang juga dikenal dengan nama dagang SymPeptide 226, adalah peptida sintetis yang terdiri dari lima asam amino yang dikaitkan dengan asam lemak miristat untuk meningkatkan penyerapan ke dalam kulit. Bahan ini berfungsi sebagai bahan komunikasi sel (cell-communicating ingredient) yang bekerja dengan cara merangsang gen keratin untuk meningkatkan produksi protein keratin, yaitu komponen struktural utama pada rambut dan bulu mata. Dalam produk perawatan kulit dan kosmetik, bahan ini sangat populer digunakan dalam serum bulu mata dan alis karena terbukti secara klinis dapat meningkatkan panjang, ketebalan, dan kepadatan bulu mata dalam waktu dua minggu tanpa efek samping yang berbahaya. Selain membantu pertumbuhan rambut, bahan ini juga memiliki sifat anti-penuaan dan antioksidan yang membantu melindungi folikel dari kerusakan lingkungan.",Normal
myristyl-malate-phosphonic-acid,Myristyl Malate Phosphonic Acid,Revidrate,moisturizer/humectant,"Myristyl Malate Phosphonic Acid, yang dikenal dengan nama dagang Revidrate, adalah bahan aktif pelembap sintetis yang dirancang untuk mendukung keseimbangan air dan lipid alami kulit. Bahan ini bekerja dengan cara meniru fosfolipid bioaktif alami untuk merangsang sintesis Natural Moisturizing Factors (NMF) dan memperkuat lapisan pelindung kulit (skin barrier). Dalam produk perawatan seperti krim wajah, lip balm, dan losion tubuh, bahan ini membantu kulit untuk menghidrasi dirinya sendiri dari dalam, sehingga menghasilkan tekstur kulit yang lebih halus, sehat, dan terhidrasi dengan baik.",Normal
myristyl-myristate,Myristyl Myristate,,emollient,"Myristyl Myristate adalah ester lilin murni berbasis tanaman yang berfungsi sebagai emolien, pengental, dan peningkat tekstur dalam produk kosmetik. Bahan ini memiliki titik leleh yang mendekati suhu kulit, sehingga memberikan sensasi lembut, beludru, dan tidak lengket saat diaplikasikan. Selain membantu menstabilkan emulsi dan meningkatkan daya sebar produk, Myristyl Myristate juga berfungsi sebagai agen oklusif ringan yang membantu mengunci kelembapan untuk mencegah dehidrasi kulit. Namun, karena memiliki indeks komedogenik yang tinggi, bahan ini sebaiknya dihindari oleh pemilik kulit yang sangat rentan berjerawat atau memiliki pori-pori yang mudah tersumbat.",Normal
myristyl-nicotinate,Myristyl Nicotinate,Nia-114,cell-communicating ingredient,"Myristyl Nicotinate, yang dikenal dengan nama dagang Nia-114, adalah turunan larut minyak dari vitamin B3 (asam nikotinat) yang dirancang untuk memberikan manfaat niacin ke dalam kulit tanpa menyebabkan efek kemerahan (flushing). Sebagai bahan komunikasi sel (cell-communicating ingredient), ia bekerja dengan meningkatkan sintesis ceramide dan memperkuat sawar kulit (skin barrier) guna menjaga hidrasi serta melindungi kulit dari kerusakan lingkungan. Selain kemampuannya dalam memperbaiki tekstur dan meratakan warna kulit, bahan ini sangat efektif dalam produk anti-penuaan untuk menyamarkan garis halus dan kerutan, serta sering digunakan untuk mengurangi efek iritasi dari penggunaan retinoid. Karena sifatnya yang lembut dan stabil, Myristyl Nicotinate menjadi bahan unggulan untuk merawat kulit sensitif, dewasa, maupun kulit yang mengalami kerusakan akibat paparan sinar matahari.",Normal
myrtus-communis-extract,Myrtus Communis Extract,Myrtle Extract,"antimicrobial/antibacterial, astringent","Myrtus Communis Extract, atau yang lebih dikenal sebagai ekstrak Myrtle, adalah bahan alami yang berasal dari semak hijau abadi khas wilayah Mediterania. Dalam perawatan kulit, ekstrak ini berfungsi utama sebagai agen antimikroba dan astringen yang efektif untuk membersihkan pori-pori, mengurangi kelebihan sebum, serta membantu mengatasi masalah jerawat. Selain memiliki sifat anti-inflamasi untuk menenangkan kulit, bahan ini juga kaya akan antioksidan seperti flavonoid dan polifenol yang melindungi kulit dari kerusakan oksidatif dan tanda-tanda penuaan dini. Namun, karena mengandung komponen aromatik alami seperti limonene dan linalool yang dapat memicu sensitivitas pada beberapa orang, penggunaan tes tempel (patch test) disarankan bagi pemilik kulit sangat sensitif.",Normal
n-butyl-alcohol,N-Butyl Alcohol,,"perfuming, solvent","N-Butyl Alcohol, juga dikenal sebagai 1-butanol, adalah alkohol rantai lurus yang berfungsi utama sebagai pelarut dan bahan wewangian dalam produk kosmetik. Dalam industri kecantikan, bahan ini sering digunakan dalam produk perawatan kuku, riasan mata, dan produk cukur untuk membantu melarutkan bahan lain serta mengatur viskositas formula. Selain kemampuannya sebagai pelarut yang efektif untuk resin dan pelapis, N-Butyl Alcohol juga berperan sebagai denaturan untuk membuat produk tidak layak konsumsi dan memberikan aroma khas yang membantu meningkatkan profil wangi produk. Bahan ini memiliki karakteristik penguapan yang moderat, membantu memastikan stabilitas formula dan memberikan hasil akhir yang halus saat diaplikasikan pada kulit atau kuku.",Normal
neopentyl-glycol-dicaprylate-dicaprate,Neopentyl Glycol Dicaprylate/​Dicaprate,,emollient,"Neopentyl Glycol Dicaprylate/Dicaprate adalah bahan emolien sintetis yang sangat populer dalam produk perawatan kulit karena teksturnya yang sangat ringan dan tidak berminyak. Bahan ini berfungsi untuk menghaluskan dan melembutkan kulit dengan cara membentuk lapisan pelindung yang membantu mengunci kelembapan tanpa meninggalkan rasa lengket. Selain itu, bahan ini sering digunakan untuk meningkatkan daya sebar (spreadability) produk seperti pelembap, tabir surya, dan kosmetik dekoratif, serta memberikan efek akhir yang halus dan sutra (silky feel) pada kulit. Karena sifatnya yang non-comedogenic, bahan ini aman digunakan untuk kulit yang rentan berjerawat.",Normal
neopentyl-glycol-diheptanoate,Neopentyl Glycol Diheptanoate,,emollient,"Neopentyl Glycol Diheptanoate adalah ester sintetis yang berfungsi sebagai emolien dan agen penambah tekstur yang sangat ringan dalam produk perawatan kulit dan kosmetik. Bahan ini sering digunakan sebagai alternatif alami untuk silikon volatil (seperti cyclomethicone) karena kemampuannya memberikan hasil akhir yang halus, lembut, dan sutra tanpa rasa lengket atau berminyak. Sebagai pelembap, ia bekerja dengan membentuk lapisan pelindung di atas kulit untuk mencegah kehilangan air (dehidrasi) dan meningkatkan hidrasi. Selain itu, Neopentyl Glycol Diheptanoate sangat efektif dalam meningkatkan daya sebar produk, membantu melarutkan filter UV pada tabir surya, serta mendispersikan pigmen dalam produk riasan seperti foundation dan concealer agar memberikan cakupan yang lebih merata. Bahan ini bersifat non-komedogenik, mudah menyerap, dan dianggap aman untuk berbagai jenis kulit serta perawatan rambut.",Normal
niacinamide,Niacinamide,"vitamin B3, nicotinamide","cell-communicating ingredient, skin brightening, anti-acne, moisturizer/humectant","Niacinamide, atau yang dikenal sebagai Vitamin B3 atau Nikotinamid, adalah bahan multifungsi ""superstar"" dalam perawatan kulit yang sangat populer karena kemampuannya untuk mengatasi berbagai masalah kulit sekaligus. Sebagai bahan pencerah, ia bekerja secara unik dengan menghambat transfer pigmen ke sel kulit luar untuk menyamarkan noda hitam dan meratakan warna kulit. Selain itu, niacinamide sangat efektif dalam memperkuat sawar kulit (skin barrier) dengan meningkatkan produksi ceramida, yang membantu menjaga hidrasi dan membuat kulit lebih kenyal. Bagi pemilik kulit berminyak dan berjerawat, bahan ini membantu mengatur produksi sebum, menyamarkan tampilan pori-pori yang membesar, serta memiliki sifat anti-inflamasi untuk menenangkan kemerahan dan iritasi.",Normal
nigella-sativa-seed-oil,Nigella Sativa Seed Oil,Black Cumin Oil,"soothing, antioxidant, emollient, perfuming","Nigella Sativa Seed Oil, yang lebih dikenal sebagai Minyak Jintan Hitam atau Black Cumin Oil, adalah minyak alami yang diekstrak dari biji tanaman Nigella sativa. Minyak ini sangat kaya akan asam lemak esensial, antioksidan, serta senyawa aktif thymoquinone yang memberikan sifat anti-inflamasi dan antimikroba yang kuat. Dalam perawatan kulit, bahan ini berfungsi sebagai emolien yang membantu menjaga kelembapan, menenangkan iritasi, serta melindungi kulit dari kerusakan akibat radikal bebas dan polusi. Selain kemampuannya dalam mengatasi masalah kulit seperti jerawat, eksim, dan psoriasis, minyak ini juga sering digunakan dalam produk perawatan rambut untuk menutrisi folikel dan mendukung kesehatan kulit kepala.",Normal
nylon-12,Nylon-12,,viscosity controlling,"Nylon-12 adalah polimer sintetis berbentuk bubuk putih halus yang berfungsi sebagai agen pengontrol viskositas, pengental, dan pengabur (opacifying agent) dalam produk kosmetik. Bahan ini memiliki struktur partikel bola mikro yang memberikan tekstur sangat lembut, halus, dan mewah, serta meningkatkan daya sebar produk saat diaplikasikan pada kulit. Karena kemampuannya dalam menyerap kelebihan minyak dan keringat tanpa menyumbat pori-pori, Nylon-12 sangat efektif untuk memberikan efek mattifying, mengurangi kilap, dan menyamarkan tampilan garis halus serta kerutan melalui efek soft-focus. Selain sering digunakan sebagai alternatif yang lebih aman untuk bedak talek, bahan ini juga membantu meningkatkan ketahanan riasan agar lebih tahan lama dan memberikan rasa nyaman yang ringan pada wajah.",Berminyak
octocrylene,Octocrylene,,sunscreen,"Octocrylene adalah filter UV organik yang efektif menyerap radiasi UVB dan UVA gelombang pendek (280-320 nm) untuk melindungi kulit dari kerusakan DNA dan kanker kulit. Bahan ini sangat populer karena sifat fotostabilnya yang membantu menstabilkan filter UV lain yang kurang stabil, seperti avobenzone, sehingga meningkatkan efektivitas perlindungan matahari secara keseluruhan. Selain sebagai agen tabir surya, octocrylene memiliki sifat emolien yang membantu melembapkan kulit dan meningkatkan ketahanan produk terhadap air (water resistant). Karena kemampuannya dalam meningkatkan tekstur dan mencegah kristalisasi bahan lain, bahan ini sering ditemukan dalam berbagai produk kosmetik, meskipun penggunaannya pada konsentrasi tinggi perlu diperhatikan bagi pemilik kulit yang sangat sensitif atau alergi terhadap ketoprofen.",Normal
octyldodecanol,Octyldodecanol,,"emollient, perfuming","Octyldodecanol adalah alkohol lemak rantai panjang yang jernih, tidak berbau, dan berasal dari minyak nabati. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi sebagai emolien yang memberikan kelembutan, kehalusan, dan hidrasi tahan lama tanpa rasa lengket, sehingga sering digunakan sebagai alternatif silikon. Selain kemampuannya dalam meningkatkan tekstur dan daya sebar produk, Octyldodecanol merupakan pelarut yang sangat efektif untuk bahan aktif lipofilik, pewangi, dan pigmen, serta berperan sebagai penstabil emulsi yang menjaga kualitas formula agar tidak mudah terpisah. Karena sifatnya yang stabil pada berbagai tingkat pH dan memiliki potensi iritasi yang rendah, bahan ini sangat populer digunakan dalam berbagai produk mulai dari lipstik, pelembap, hingga tabir surya.",Normal
oenothera-biennis-oil,Oenothera Biennis Oil,"Evening Primrose Oil, EPO","soothing, emollient","Oenothera Biennis Oil, yang lebih dikenal sebagai Evening Primrose Oil atau EPO, adalah minyak nabati yang diekstraksi dari biji bunga primrose malam yang berasal dari Amerika Utara. Minyak ini sangat kaya akan asam lemak esensial omega-6, terutama asam linoleat (70-75%) dan asam gamma-linolenat (GLA, 8-10%), yang berfungsi sebagai prekursor senyawa anti-inflamasi untuk menjaga kesehatan jaringan kulit. Dalam perawatan kulit, bahan ini bertindak sebagai emolien dan penenang (soothing) yang efektif untuk meningkatkan fungsi sawar kulit (skin barrier), menjaga hidrasi, serta membantu meredakan gejala kulit sensitif seperti kemerahan, eksim, dan psoriasis. Selain manfaat hidrasinya, kandungan antioksidannya juga membantu melindungi kulit dari tanda-tanda penuaan dini dan memberikan efek mencerahkan yang lembut.",Normal
